,songname,comments
10,100 Letters.json,"
Ok it's a song about a boy treating her like sexual object or with no dignity ei I'm not something to butter up and taste when you get bored also the boy says one day I realize why I don't have any friends she dumps him bc she knows her worth and know he's missing her and writes a 100 letters but she ignores him. 				
				







 
There was an error.





@ayanna1119 















When at her show only a few days ago she explained the song to us and she said that she used to have a boyfriend that would leave messages in the pockets of all her pants, usually saying things along the lines of “You’re beautiful, I love you”. And the audience thought it was so beautiful until she said “but unfortunately he treated me like s***”. She said that he treated her like she was nothing (hence the line ‘he said “one day I would realise why i don’t have any friends), and that it wasn’t for a really long time that she found her worth and what she believes she is, which was a lot more than her ex put her down to be (hence the line, ‘I said I’m not something to butter up and taste when you get bored’). Anyway, she said that months after they broke up she would still find all those notes in her pants and so she got jack of it and took every single pair of pants she had and threw them in the wash, hoping to drown every single note left, thus the line: ‘You wrote 100 letters just for me. And I find them in my closet in the pockets of my jeans. Now I’m constantly reminded of the time I was 19, every single one’s forgotten in a laundromat machine’. 				
				







 
There was an error.





@heidi_n_ 














"
11,24 Cans.json,nil
12,24K Magic.json,"
The funk song celebrates glitz and glamour, beginning with a private jet landing in Las Vegas where Mars hangs with his posse, dancing to the groove while a bevy of bikini-clad dancers join him poolside. ""I'm a dangerous man with some money in my pocket,"" he warns, but the song is more of a party with ""24 karat magic in the air"" both serving as the chorus and the vibe of the feel-good clip, which was directed by longtime collaborator Cameron Duddy and Mars himself.				
				







 
There was an error.





@amirbe 















Bruno Mars has announced his forthcoming LP, 24K Magic (on the album cover it's written in Roman numerals as XXIVk Magic) and he has released the title track as its first single along with its accompanying video. The album will be released on November 18th via Atlantic Records and the song is currently available via iTunes				
				







 
There was an error.





@amirbe 














"
13,25 To Life.json,"
em is back and reviving his best sound. i think he made his point about ending his romance with hip hop. when he first came in, hip hop was at a pretty woman at her prime, and now he's divorcing the hip hop that's been poisoned by all the crappers like wayne, gucci mane, and drake.
don't leave us em, we won't have a cure for the hip hop cancer that wayne's spreading				
				







 
There was an error.





@eminupe 















You're all missing the point.

The reason why this song works so well is the fact that he tells a story, making the song Universal and Personal all at the same time. He lets the listener know he wants to address his personal issues with Hip-Hop but also allows a huge quantity of people to relate to the content of the song, the amount of people who find themselves in relationships which can be summed up be these lyrics can't be underestimated.

That, is why Eminem will always be up there with tupac looking down on the rest, he doesn't have to talk about shooting people and f*cking hookers to sell his music. He makes songs that can actually make a difference.				
				







 
There was an error.





@MichaelMarx 















Awesome song but I really just want to address this illuminati junk that seems to be popping up on this site a lot.  My opinion is it's capital BS & a completely self-defeating  attitude to buy into the idea that theres a secret society controlling or planning to control the world.  An organization existed at one point but to blame current problems on a faceless idea or set of powerful individuals just allows problems to continue & basically to says you're powerless to do anything because someone or something else has more power than you & they control things.  I'm not one to discount peoples view but this idea is a large steaming pile of horse-shit & frankly is dangerous cuz it can suck people into a pretty paranoid, totally unproductive state of mind.  It's music enjoy it. :) 				
				







 
There was an error.





@Paul123456 















This is more than Kim, drugs, addiction, or hip hop.  This song is his way of representing ALL of his past struggles and pains.  This includes Kim and his addiction issues.  It includes the fans who left him and the public's campaign against him and his music.

I think the reason he said ""Fuck you hip hop"" is because hip hop is his whole life, not just a music genre.  People like Eminem live their art, so I think this song was not only hip hop, but everything else in his life.

But that's just my two cents :)				
				







 
There was an error.





@MarilynJones 















didn't figure out it was about rap till he said ""fuck you hip hop"" but it makes sense and is brilliant and personal				
				







 
There was an error.





@sofa king cool 
















0








 
			at first i didnt either. but thats the skill he was able to show. theres very few artists who have the mentality to tell you a story without exposing who theyre talking about til the end, when hes rapping one would think hes talking about a familiar topic in his songs.....Kim, but at the end he flips the script and you find out hes talking about hip hop. The only other person (that i know of that is) that has done that is common, his track is titled ""I used to love h.e.r."" check it out. They're very much the same in theory. but differant in practice. Eminem's is a more emotional lashing out at how the industry had treated him badly and hes fed up, com's track is more of and explanation of how he was introduced to rap and the way it was swept up and embraced (for better or worse) and how he used to love the way rap was, and wishes it hadnt turned commercial.			







0








 
			kanyes song ""homecoming"" is the same way, hes talking about a girl but its actualy chicago that hes talkin about... and in my oppinion the best artist to do a song with this concept was tupac. tupacs song ""me and my girlfriend"" it sounds lik he is talkin about his girlfriend throughout the whole song, he actualy talkin about his gun, eventhough he never says it.			







0








 
			Atmosphere did it too. Yesterday sounded like he was talking about a past girlfriend turns out it was about his deceased father			







+1








 
			i think everyone is over thinking this. Its not about kim at all. Nothing on recovery is. Its about his life as an artist his life in the spotlight as a hip hop artist. If you know eminem you know that he hates the fact that he cant go out in public so he began hating the rap game which led to a life of drugs and depression. It became too overwhelming and it started to control him. This is eminem's way of saying he is going to do what he wants now			







+1








 
			its not about rap its about the illuminati!!!			






			at first i didnt either. but thats the skill he was able to show. theres very few artists who have the mentality to tell you a story without exposing who theyre talking about til the end, when hes rapping one would think hes talking about a familiar topic in his songs.....Kim, but at the end he flips the script and you find out hes talking about hip hop. The only other person (that i know of that is) that has done that is common, his track is titled ""I used to love h.e.r."" check it out. They're very much the same in theory. but differant in practice. Eminem's is a more emotional lashing out at how the industry had treated him badly and hes fed up, com's track is more of and explanation of how he was introduced to rap and the way it was swept up and embraced (for better or worse) and how he used to love the way rap was, and wishes it hadnt turned commercial.			

			kanyes song ""homecoming"" is the same way, hes talking about a girl but its actualy chicago that hes talkin about... and in my oppinion the best artist to do a song with this concept was tupac. tupacs song ""me and my girlfriend"" it sounds lik he is talkin about his girlfriend throughout the whole song, he actualy talkin about his gun, eventhough he never says it.			

			Atmosphere did it too. Yesterday sounded like he was talking about a past girlfriend turns out it was about his deceased father			

			i think everyone is over thinking this. Its not about kim at all. Nothing on recovery is. Its about his life as an artist his life in the spotlight as a hip hop artist. If you know eminem you know that he hates the fact that he cant go out in public so he began hating the rap game which led to a life of drugs and depression. It became too overwhelming and it started to control him. This is eminem's way of saying he is going to do what he wants now			

			its not about rap its about the illuminati!!!			

you people are idiots this song is about the trials and tribulations of being in the rap game not stupid illuminati bullshit you paranoid fucks				
				







 
There was an error.





@n8rapper 















This song is about his 'relationship' with hip-hop. 
A few verses that point that out:

'i gave up my life for you, totally devoted to you' -- We all know how long Eminem has been a rapper. 'Nuff said. 

'dont think im loyal, all i do is rap' -- Self-explanatory.

'but in my sickness an addiction, you're addictive as they get' -- Eminem was a recent drug addict, (Hence the album title, 'Recovery') but, this completely stats that rapping is his ultimate addiction.

'go marry someone else and make em famous' -- Kim obviously isn't going to make anyone famous, however being a rap artist will..

'fuck you hip-hop' -- Well, yeah.. 

And lastly, the chorus:

too late for the other side
caught in a change
25 to life
too late for the other side
caught in a change
25 to life

Eminem's first album titled, 'Slim Shady LP' released in the year(s) of 1997-1999; When he was 25. Hence the lyrics, '25 To Life'. Ironically, it is also the life sentence of imprisonment. Thus being, his life sentence to rapping.				
				







 
There was an error.





@FlyingNewb 
















0








 
			The Slim Shady LP is Eminem's 3rd album after Infinite and Slim Shady EP			






			The Slim Shady LP is Eminem's 3rd album after Infinite and Slim Shady EP			

I have the cd and the lyrics are ""caught in a chase"" not change.				
				







 
There was an error.





@devildancer 















c'mon people he's definetly referring to this rap game as a woman.				
				







 
There was an error.





@BRabbit24 















This song has to be about hip hop because of the single lines - 
'Fuck you hip-hop
 I'm leaving you, my life sentence is served bitch'

It's about his relationship with hip - hop.
Not about Kim, Drugs or the 'illumninati'
 Saying that is pretty stupid.				
				







 
There was an error.





@shadyshoe 














"
14,3 A.M..json,nil
15,4U.json,nil
16,7 Min Freestyle.json,nil
17,7 Rings.json,nil
18,80's Mercedes.json,nil
19,90210 (feat. G-Eazy).json,nil
20,90210.json,"
I can't believe no one's commented on this yet. This song is amazing and has real powerful message behind it. I really don't see any point in explaining the lyrics, they speak for themselves quite clearly.				
				







 
There was an error.





@MusicIsMyPassion 















Agreed. This song is great and sadly very true. Wale is a great underrated artist. His songs mean alot but arent hard to figure out like lupe fiasco's. He better not go mainstream. 				
				







 
There was an error.





@Jaquille 














"
